# INSTANCE CHARACTERISTICS
641	Instance number
RealLifeSurgeryTypesDatabase	case mix name
5	number of OR-days
0.800000000	desired load
0.798256674	load
480.000000000	Capacity OR-days in minutes

# SURGERIES
SurgNr	P1	P2	P3
1	4.223935833	0.698340653	9.997175388
2	4.535940277	0.610757267	9.997309849
3	5.115594529	0.711527742	0.000000000
4	3.872072422	0.366455345	0.844631289
5	3.740198278	0.525501908	9.999900000
6	4.350849218	0.730968513	9.995941464
7	4.147838762	0.739916221	2.999900000
8	5.115594529	0.711527742	0.000000000
9	5.482789533	0.370578885	9.999575786
10	2.614994291	0.392378062	6.997833995
11	2.117072622	0.858148205	5.999900000
12	4.365758970	0.476596305	0.000000000
13	4.649021615	0.287624720	0.000000000
14	3.253966183	0.608381746	11.999900000
15	3.981882060	0.631931442	67.999900000
16	4.181670887	0.593759746	6.999900000
17	3.065111429	0.396564102	8.999899998
18	3.193557009	0.499738684	45.996994300
19	3.306014272	0.676025211	18.870363880
20	2.880276221	0.637720215	11.999900000
